sample	annotator	earth	mars	mercury	neptune	pluto	jupiter	saturn	uranus	venus
rwk_grenz_2866-1.tsv	2						x	x		
rwk_grenz_3019-1.tsv	2						x	x		
rwk_grenz_3108-1.tsv	2		x				x			
rwk_grenz_3157-1.tsv	2		x					x		
rwk_grenz_3168-1.tsv	2		x					x		
rwk_grenz_317-1.tsv	2	x					x			
rwk_grenz_3240-1.tsv	2		x					x		
rwk_grenz_337-1.tsv	2							x	x	
rwk_grenz_3493-1.tsv	2		x					x		
rwk_grenz_3633-1.tsv	2	x					x			
rwk_grenz_3633-2.tsv	2		x					x		
rwk_grenz_3732-1.tsv	2	x					x			
rwk_grenz_375-1.tsv	2			x					x	
rwk_grenz_3867-1.tsv	2		x				x			
rwk_grenz_4004-1.tsv	2	x					x			
rwk_grenz_4101-1.tsv	2			x				x		
rwk_grenz_4604-1.tsv	2		x					x		
rwk_grenz_4617-1.tsv	2			x					x	
rwk_grenz_4978-1.tsv	2	x					x			
rwk_grenz_517-1.tsv	2		x				x			
rwk_grenz_5313-1.tsv	2		x					x		
rwk_grenz_5375-1.tsv	2		x					x		
rwk_grenz_5382-1.tsv	2	x					x			
rwk_grenz_5403-1.tsv	2			x				x		
rwk_grenz_5486-1.tsv	2			x				x		
rwk_grenz_5743-1.tsv	2		x					x		
rwk_grenz_5912-1.tsv	2	x	x							
rwk_grenz_5912-2.tsv	2			x				x		
rwk_grenz_6044-1.tsv	2			x				x		
rwk_grenz_6262-1.tsv	2			x					x	
rwk_grenz_630-1.tsv	2			x					x	
rwk_grenz_6303-1.tsv	2		x				x			
rwk_grenz_6510-1.tsv	2	x					x			
rwk_grenz_6628-1.tsv	2		x					x		
rwk_grenz_7064-2.tsv	2			x				x		
rwk_grenz_7127-1.tsv	2	x					x			
rwk_grenz_7127-2.tsv	2		x					x		
rwk_grenz_7249-1.tsv	2			x				x		
rwk_grenz_7378-1.tsv	2			x				x		
rwk_grenz_7700-1.tsv	2			x					x	
rwk_grenz_773-1.tsv	2						x	x		
rwk_grenz_7914-1.tsv	2		x				x			
rwk_grenz_8110-1.tsv	2	x					x			
rwk_grenz_8287-1.tsv	2	x					x			
rwk_grenz_8348-1.tsv	2						x		x	
rwk_grenz_9076-1.tsv	2			x					x	
rwk_grenz_9676-1.tsv	2	x					x			
rwk_grenz_9742-1.tsv	3		x				x	x		
rwk_grenz_9881-1.tsv	2						x	x		
rwk_grenz_9977-1.tsv	2		x					x		
rwk_mkhz_10012-1.tsv	2						x		x	
rwk_mkhz_10015-1.tsv	2						x		x	
rwk_mkhz_10017-1.tsv	2						x		x	
rwk_mkhz_10021-1.tsv	2			x					x	
rwk_mkhz_10027-short.tsv	2		x					x		
rwk_mkhz_10030-1.tsv	2						x		x	
rwk_mkhz_10033-1.tsv	2		x					x		
rwk_mkhz_10036-short.tsv	2						x		x	
rwk_mkhz_10037-1.tsv	2			x					x	
rwk_mkhz_10039-1.tsv	2						x		x	
rwk_mkhz_10042-short.tsv	2						x		x	
rwk_mkhz_10052-1.tsv	2						x		x	
rwk_mkhz_10058-1.tsv	2			x					x	
rwk_mkhz_10070-1.tsv	2						x		x	
rwk_mkhz_10071-short.tsv	2			x				x		
rwk_mkhz_10113-short.tsv	2			x					x	
rwk_mkhz_1012-short.tsv	2		x					x		
rwk_mkhz_10135-1.tsv	2		x					x		
rwk_mkhz_10140-short.tsv	2		x					x		
rwk_mkhz_10146-1.tsv	2		x					x		
rwk_mkhz_10150-short.tsv	2		x	x						
rwk_mkhz_10151-short.tsv	2		x					x		
rwk_mkhz_10169-1.tsv	2			x				x		
rwk_mkhz_10175-short.tsv	2		x	x						
rwk_mkhz_10189-1.tsv	2		x				x			
rwk_mkhz_10200-1.tsv	2			x				x		
rwk_mkhz_10205-1.tsv	2		x				x			
rwk_mkhz_10207-short.tsv	2			x				x		
rwk_mkhz_10215-short.tsv	2		x				x			
rwk_mkhz_10217-short.tsv	2		x				x			
rwk_mkhz_10227-1.tsv	2		x				x			
rwk_mkhz_10233-1.tsv	2			x				x		
rwk_mkhz_10235-1.tsv	2		x				x			
rwk_mkhz_10245-short.tsv	2		x	x						
rwk_mkhz_10246-1.tsv	2		x				x			
rwk_mkhz_10252-short.tsv	2		x				x			
rwk_mkhz_10262-1.tsv	2		x				x			
rwk_mkhz_10267-1.tsv	2						x		x	
rwk_mkhz_10272-1.tsv	2		x	x						
rwk_mkhz_10287-1.tsv	2						x		x	
rwk_mkhz_10290-short.tsv	2		x	x						
rwk_mkhz_10294-1.tsv	2		x	x						
rwk_mkhz_10343-short.tsv	2						x		x	
rwk_mkhz_10346-1.tsv	2						x		x	
rwk_mkhz_10351-short.tsv	2						x		x	
rwk_mkhz_10352-1.tsv	2						x		x	
rwk_mkhz_10357-short.tsv	2						x		x	
rwk_mkhz_1037-1.tsv	2		x						x	
rwk_mkhz_10378-short.tsv	2							x	x	
rwk_mkhz_10379-1.tsv	2		x	x						
