file	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwk_digbib_3163-1.tsv	Storm,_Theodor_Im_Nachbarhause_links.tg241_1.xml	1875	1870	digbib	Im Nachbarhause links	Storm, Theodor	yes	Erzähltext	yes	614	no	first	chevron
rwk_digbib_3166-1.tsv	Storm,_Theodor_In_St__Juergen.tg232_1.xml	1868	1860	digbib	In St. Jürgen	Storm, Theodor	yes	Erzähltext	yes	661	no	first	chevron
rwk_digbib_3167-1.tsv	Storm,_Theodor_John_Riew_.tg255_1.xml	1885	1880	digbib	John Riew'	Storm, Theodor	yes	Erzähltext	yes	701	no	first	chevron
rwk_digbib_3167-2.tsv	Storm,_Theodor_John_Riew_.tg255_1.xml	1885	1880	digbib	John Riew'	Storm, Theodor	yes	Erzähltext	yes	658	no	first	chevron
rwk_digbib_3186-1.tsv	Trakl,_Georg_Traumland__Eine_Episode.tg165_1.xml	1906	1900	digbib	Traumland. Eine Episode	Trakl, Georg	yes	Erzähltext	yes	584	no	first	chevron
rwk_digbib_3186-2.tsv	Trakl,_Georg_Traumland__Eine_Episode.tg165_1.xml	1906	1900	digbib	Traumland. Eine Episode	Trakl, Georg	yes	Erzähltext	yes	601	no	first	chevron
rwk_digbib_3188-2.tsv	Turgenev,_Ivan_Sergeeviç_Faust__Erzaehlung_in_neun_Briefen.tg4_1.xml	1856	1850	digbib	Faust. Erzählung in neun Briefen	Turgenev, Ivan Sergeeviç	yes	Erzähltext	yes	605	no	first	undef
rwk_digbib_3211-1.tsv	Verne,_Jules_Ein_Drama_in_den_Lueften.tg1896_1.xml	1875	1870	digbib	Undefined	Verne, Jules	yes	Erzähltext	yes	615	no	first	dash chevron none
rwk_digbib_3216-1.tsv	Verne,_Jules_Zehn_Stunden_auf_der_Jagd.tg1960_1.xml	1885	1880	digbib	Zehn Stunden auf der Jagd	Verne, Jules	yes	Erzähltext	yes	634	no	first	dash chevron
rwk_digbib_3219-1.tsv	Wedekind,_Frank_Die_Schutzimpfung.tg364_1.xml	1903	1900	digbib	Die Schutzimpfung	Wedekind, Frank	yes	Erzähltext	yes	603	no	first	chevron
rwk_digbib_3219-2.tsv	Wedekind,_Frank_Die_Schutzimpfung.tg364_1.xml	1903	1900	digbib	Die Schutzimpfung	Wedekind, Frank	yes	Erzähltext	yes	604	no	first	chevron
